SEC_TERM,COURSE_SECTIONS_ID,SEC_STATUS,SEC_COMMENTS,SEC_PRINTED_COMMENTS,SEC_START_DATE,SEC_END_DATE,SEC_SUBJECT,SEC_COURSE_NO,SEC_NO,SEC_SHORT_TITLE,SEC_MIN_CRED,CSM_START_TIME,CSM_END_TIME,CSM_MONDAY,CSM_TUESDAY,CSM_WEDNESDAY,CSM_THURSDAY,CSM_FRIDAY,CSM_SATURDAY,CSM_SUNDAY,CSM_BLDG,CSM_ROOM,CSM_INSTR_METHOD,SEC_FACULTY_INFO,STUDENTS_AND_RESERVED_SEATS,SEC_CAPACITY,SEC_SCHED_CAPACITY,WAITLIST,XL_CAPACITY,XL_WAITLIST_MAX,CHARGE_AMT_1,CHARGE_AMT_2,CHARGE_AMT_3,AR_CODE_2,AR_CODE_3,sect_AW,sect_FAR,sect_HIS,sect_LIT,sect_CEA,sect_CL,sect_CD,sect_ER,sect_PHL,sect_THE,sect_FYC,sect_GD,sect_ILC,sect_IW,sect_ND,sect_NS,sect_OC,sect_PR,sect_QA,sect_SL,sect_SS,sect_WI,sect_PS,PREREQ,SEC_FACULTY_CONSENT_FLAG,SEC_PETITION_REQD_FLAG,SEC_HIDE_IN_CATALOG,CSM_START_DATE,CSM_END_DATE,NEEDS_BUILD,SEC_OVERRIDE_CRS_REQS_FLAG,SEC_OVR_PREREG_START_DATE,SEC_OVR_ADD_START_DATE,SEC_OVR_DROP_GR_REQD_DATE,SEC_OVR_DROP_END_DATE,SEC_ACAD_LEVEL,SEC_NO_WEEKS,SEC_XLIST,SEC_GRADE_SCHEME,SEC_CRED_TYPE,SEC_REG_RETAKE_POLICY,SEC_BILLING_CRED,SEC_BILLING_METHOD,SEC_BILLING_PERIOD_TYPE,SEC_MIN_ENROLL,SEC_ONLY_PASS_NOPASS_FLAG,SEC_ALLOW_PASS_NOPASS_FLAG,SEC_ALLOW_AUDIT_FLAG,SEC_ALLOW_WAITLIST_FLAG,SEC_WAITLIST_MAX,SEC_WAITLIST_NO_DAYS,SEC_CLOSE_WAITLIST_FLAG,CSM_ROOM_SCHED_TERM,SEC_SYNONYM,SEC_COURSE,SEC_NAME,SEC_MEETING_INFO,SEC_FIRST_MEETING_DATE,SEC_LAST_MEETING_DATE,,,TEST_INDEX
2024SP,20184,A,,,Jan 17 2024,Mar 10 2024,ACNU,305B,A,Clinical Nursing Care I PartB,2,6:30PM,11:59PM,-,-,-,-,Y,Y,,OFCP,OFFCMPS,CLIN,A. Boitano,9,10,11,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,Mar 10 2024,Current or Needs Rebuild,N,Nov  5 2023,Jan 17 2024,Jan 25 2024,Mar  7 2024,UG,8,,+,INST,R2,2,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19350,2603,ACNU-305B-A,"01/17/2024-03/10/2024 Clinical Friday, Saturday 06:30PM - 11:59PM, Off-Campus, Room OFFCMPS (more)...",Jan 19 2024,Mar 10 2024,,,1
2024SP,20184,A,,,Jan 17 2024,Mar 10 2024,ACNU,305B,A,Clinical Nursing Care I PartB,,12:01AM,6:30AM,-,-,-,-,-,Y,Y,OFCP,OFFCMPS,CLIN2,A. Boitano,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,Mar 10 2024,Current or Needs Rebuild,N,Nov  5 2023,Jan 17 2024,Jan 25 2024,Mar  7 2024,UG,8,,+,INST,R2,,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19350,2603,ACNU-305B-A,"01/17/2024-03/10/2024 Clinical Friday, Saturday 06:30PM - 11:59PM, Off-Campus, Room OFFCMPS (more)...",Jan 19 2024,Mar 10 2024,,,2
2024SP,20184,A,,,Jan 17 2024,Mar 10 2024,ACNU,305B,A,Clinical Nursing Care I PartB,,1:00PM,4:50PM,Y,-,-,-,-,,,SIMP,406,LAB,A. Boitano,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,Mar 10 2024,Current or Needs Rebuild,N,Nov  5 2023,Jan 17 2024,Jan 25 2024,Mar  7 2024,UG,8,,+,INST,R2,,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19350,2603,ACNU-305B-A,"01/17/2024-03/10/2024 Clinical Friday, Saturday 06:30PM - 11:59PM, Off-Campus, Room OFFCMPS (more)...",Jan 19 2024,Mar 10 2024,,,3
2024SP,20185,A,,,Jan 17 2024,Mar 10 2024,ACNU,307,A,Evd-Based Practice Rsrch,3,9:00AM,11:50AM,-,Y,-,-,-,,,SIMP,407,LEC,M. Lewis,9,10,10,,,,,,,,,AW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,Mar 10 2024,Current or Needs Rebuild,N,Nov  5 2023,Jan 17 2024,Jan 25 2024,Mar  7 2024,UG,8,,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19351,2604,ACNU-307-A,"01/17/2024-03/10/2024 Lecture Tuesday 09:00AM - 11:50AM, Simperman Hall, Room 407 (more)...",Jan 18 2024,Mar  7 2024,,,4
2024SP,20185,A,,,Jan 17 2024,Mar 10 2024,ACNU,307,A,Evd-Based Practice Rsrch,,9:00AM,11:50AM,-,-,-,Y,-,,,SIMP,407,LAB,M. Lewis,,,,,,,,,,,,AW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,Mar 10 2024,Current or Needs Rebuild,N,Nov  5 2023,Jan 17 2024,Jan 25 2024,Mar  7 2024,UG,8,,+,INST,R2,,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19351,2604,ACNU-307-A,"01/17/2024-03/10/2024 Lecture Tuesday 09:00AM - 11:50AM, Simperman Hall, Room 407 (more)...",Jan 18 2024,Mar  7 2024,,,5
2024SP,20186,A,,,Jan 17 2024,Mar 10 2024,ACNU,404A,A,Illness Across Lifespan II A,2,9:30AM,10:45AM,Y,-,Y,-,-,,,SIMP,407,LEC,J. Johnson,9,10,10,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,Mar 10 2024,Current or Needs Rebuild,N,Nov  5 2023,Jan 17 2024,Jan 25 2024,Mar  7 2024,UG,8,,+,INST,R2,2,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19352,2605,ACNU-404A-A,"01/17/2024-03/10/2024 Lecture Monday, Wednesday 09:30AM - 10:45AM, Simperman Hall, Room 407 (more)...",Jan 17 2024,Mar  6 2024,,,6
2024SP,20186,A,,,Jan 17 2024,Mar 10 2024,ACNU,404A,A,Illness Across Lifespan II A,,2:15PM,5:00PM,-,-,Y,-,-,,,SIMP,406,LAB,J. Johnson,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,Mar 10 2024,Current or Needs Rebuild,N,Nov  5 2023,Jan 17 2024,Jan 25 2024,Mar  7 2024,UG,8,,+,INST,R2,,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19352,2605,ACNU-404A-A,"01/17/2024-03/10/2024 Lecture Monday, Wednesday 09:30AM - 10:45AM, Simperman Hall, Room 407 (more)...",Jan 17 2024,Mar  6 2024,,,7
2024SP,20187,A,,,Mar 20 2024,May  9 2024,ACNU,404B,A,Illness Across Lifespan II B,2,9:30AM,10:45AM,Y,-,Y,-,-,,,SIMP,407,LEC,J. Johnson,9,10,10,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Mar 20 2024,May  9 2024,Current or Needs Rebuild,N,Nov  5 2023,Mar 20 2024,Mar 28 2024,Apr 25 2024,UG,8,,+,INST,R2,2,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19353,2606,ACNU-404B-A,"03/20/2024-05/09/2024 Lecture Monday, Wednesday 09:30AM - 10:45AM, Simperman Hall, Room 407 (more)...",Mar 20 2024,May  8 2024,,,8
2024SP,20187,A,,,Mar 20 2024,May  9 2024,ACNU,404B,A,Illness Across Lifespan II B,,9:00AM,11:50AM,-,-,-,-,Y,,,SIMP,406,LAB,J. Johnson,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Mar 20 2024,May  9 2024,Current or Needs Rebuild,N,Nov  5 2023,Mar 20 2024,Mar 28 2024,Apr 25 2024,UG,8,,+,INST,R2,,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19353,2606,ACNU-404B-A,"03/20/2024-05/09/2024 Lecture Monday, Wednesday 09:30AM - 10:45AM, Simperman Hall, Room 407 (more)...",Mar 20 2024,May  8 2024,,,9
2024SP,20188,A,,,Mar 20 2024,May  9 2024,ACNU,414,A,Com &PublicHealth Nursing(ND),4,1:00PM,3:30PM,Y,-,Y,-,-,,,SIMP,407,LEC,D. Thompson,9,10,11,,,,,,,,,-,-,-,-,-,-,CD,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,-,-,,N,N,,Mar 20 2024,May  9 2024,Current or Needs Rebuild,N,Nov  5 2023,Mar 20 2024,Mar 28 2024,Apr 25 2024,UG,8,,+,INST,R2,4,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19354,2607,ACNU-414-A,"03/20/2024-05/09/2024 Lecture Monday, Wednesday 01:00PM - 03:30PM, Simperman Hall, Room 407 (more)...",Mar 20 2024,May  9 2024,,,10
