SEC_TERM,COURSE_SECTIONS_ID,SEC_STATUS,SEC_COMMENTS,SEC_PRINTED_COMMENTS,SEC_START_DATE,SEC_END_DATE,SEC_SUBJECT,SEC_COURSE_NO,SEC_NO,SEC_SHORT_TITLE,SEC_MIN_CRED,CSM_START_TIME,CSM_END_TIME,CSM_MONDAY,CSM_TUESDAY,CSM_WEDNESDAY,CSM_THURSDAY,CSM_FRIDAY,CSM_SATURDAY,CSM_SUNDAY,CSM_BLDG,CSM_ROOM,CSM_INSTR_METHOD,SEC_FACULTY_INFO,STUDENTS_AND_RESERVED_SEATS,SEC_CAPACITY,SEC_SCHED_CAPACITY,WAITLIST,XL_CAPACITY,XL_WAITLIST_MAX,CHARGE_AMT_1,CHARGE_AMT_2,CHARGE_AMT_3,AR_CODE_2,AR_CODE_3,sect_AW,sect_FAR,sect_HIS,sect_LIT,sect_CEA,sect_CL,sect_CD,sect_ER,sect_PHL,sect_THE,sect_FYC,sect_GD,sect_ILC,sect_IW,sect_ND,sect_NS,sect_OC,sect_PR,sect_QA,sect_SL,sect_SS,sect_WI,sect_PS,PREREQ,SEC_FACULTY_CONSENT_FLAG,SEC_PETITION_REQD_FLAG,SEC_HIDE_IN_CATALOG,CSM_START_DATE,CSM_END_DATE,NEEDS_BUILD,SEC_OVERRIDE_CRS_REQS_FLAG,SEC_OVR_PREREG_START_DATE,SEC_OVR_ADD_START_DATE,SEC_OVR_DROP_GR_REQD_DATE,SEC_OVR_DROP_END_DATE,SEC_ACAD_LEVEL,SEC_NO_WEEKS,SEC_XLIST,SEC_GRADE_SCHEME,SEC_CRED_TYPE,SEC_REG_RETAKE_POLICY,SEC_BILLING_CRED,SEC_BILLING_METHOD,SEC_BILLING_PERIOD_TYPE,SEC_MIN_ENROLL,SEC_ONLY_PASS_NOPASS_FLAG,SEC_ALLOW_PASS_NOPASS_FLAG,SEC_ALLOW_AUDIT_FLAG,SEC_ALLOW_WAITLIST_FLAG,SEC_WAITLIST_MAX,SEC_WAITLIST_NO_DAYS,SEC_CLOSE_WAITLIST_FLAG,CSM_ROOM_SCHED_TERM,SEC_SYNONYM,SEC_COURSE,SEC_NAME,SEC_MEETING_INFO,SEC_FIRST_MEETING_DATE,SEC_LAST_MEETING_DATE,Unnamed: 95,Unnamed: 96,TEST_INDEX
2024SP,20184,A,Unknown,Unknown,Jan 17 2024,Mar 10 2024,ACNU,305B,A,Clinical Nursing Care I PartB,2.0,18:30:00,23:59:00,-,-,-,-,Y,Y,Unknown,OFCP,OFFCMPS,CLIN,A. Boitano,9.0,10.0,11.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,Mar 10 2024,Current or Needs Rebuild,N,Nov  5 2023,Jan 17 2024,Jan 25 2024,Mar  7 2024,UG,8.0,Unknown,+,INST,R2,2.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19350,2603,ACNU-305B-A,"01/17/2024-03/10/2024 Clinical Friday, Saturday 06:30PM - 11:59PM, Off-Campus, Room OFFCMPS (more)...",Jan 19 2024,Mar 10 2024,Unknown,Unknown,1
2024SP,20185,A,Unknown,Unknown,Jan 17 2024,Mar 10 2024,ACNU,307,A,Evd-Based Practice Rsrch,3.0,09:00:00,11:50:00,-,Y,-,-,-,Unknown,Unknown,SIMP,407,LEC,M. Lewis,9.0,10.0,10.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,AW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,Mar 10 2024,Current or Needs Rebuild,N,Nov  5 2023,Jan 17 2024,Jan 25 2024,Mar  7 2024,UG,8.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19351,2604,ACNU-307-A,"01/17/2024-03/10/2024 Lecture Tuesday 09:00AM - 11:50AM, Simperman Hall, Room 407 (more)...",Jan 18 2024,Mar  7 2024,Unknown,Unknown,4
2024SP,20186,A,Unknown,Unknown,Jan 17 2024,Mar 10 2024,ACNU,404A,A,Illness Across Lifespan II A,2.0,09:30:00,10:45:00,Y,-,Y,-,-,Unknown,Unknown,SIMP,407,LEC,J. Johnson,9.0,10.0,10.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,Mar 10 2024,Current or Needs Rebuild,N,Nov  5 2023,Jan 17 2024,Jan 25 2024,Mar  7 2024,UG,8.0,Unknown,+,INST,R2,2.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19352,2605,ACNU-404A-A,"01/17/2024-03/10/2024 Lecture Monday, Wednesday 09:30AM - 10:45AM, Simperman Hall, Room 407 (more)...",Jan 17 2024,Mar  6 2024,Unknown,Unknown,6
2024SP,20187,A,Unknown,Unknown,Mar 20 2024,May  9 2024,ACNU,404B,A,Illness Across Lifespan II B,2.0,09:30:00,10:45:00,Y,-,Y,-,-,Unknown,Unknown,SIMP,407,LEC,J. Johnson,9.0,10.0,10.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Mar 20 2024,May  9 2024,Current or Needs Rebuild,N,Nov  5 2023,Mar 20 2024,Mar 28 2024,Apr 25 2024,UG,8.0,Unknown,+,INST,R2,2.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19353,2606,ACNU-404B-A,"03/20/2024-05/09/2024 Lecture Monday, Wednesday 09:30AM - 10:45AM, Simperman Hall, Room 407 (more)...",Mar 20 2024,May  8 2024,Unknown,Unknown,8
2024SP,20188,A,Unknown,Unknown,Mar 20 2024,May  9 2024,ACNU,414,A,Com &PublicHealth Nursing(ND),4.0,13:00:00,15:30:00,Y,-,Y,-,-,Unknown,Unknown,SIMP,407,LEC,D. Thompson,9.0,10.0,11.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,CD,-,-,-,-,-,-,-,ND,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Mar 20 2024,May  9 2024,Current or Needs Rebuild,N,Nov  5 2023,Mar 20 2024,Mar 28 2024,Apr 25 2024,UG,8.0,Unknown,+,INST,R2,4.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19354,2607,ACNU-414-A,"03/20/2024-05/09/2024 Lecture Monday, Wednesday 01:00PM - 03:30PM, Simperman Hall, Room 407 (more)...",Mar 20 2024,May  9 2024,Unknown,Unknown,10
2024SP,20584,A,Unknown,Unknown,Jan 17 2024,May  9 2024,AN,218,A,Intro Native Am Studies(CDND),3.0,14:15:00,15:30:00,Y,-,Y,-,-,Unknown,Unknown,OCON,125,LEC,L. Ferguson,14.0,20.0,20.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,CL,CD,-,-,-,-,-,-,-,ND,-,-,-,-,-,SS,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,684.0,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,Unknown,19747,9,AN-218-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday 02:15PM - 03:30PM, O'Connell Hall, Room 125",Jan 17 2024,May  8 2024,Unknown,Unknown,12
2024SP,20586,A,Unknown,Unknown,Jan 17 2024,May  9 2024,AN,317,A,Ethnic & Racial Relations(ND),3.0,14:15:00,15:30:00,-,Y,-,Y,-,Unknown,Unknown,STCH,44,LEC,J. Dolan,5.0,20.0,20.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,CL,CD,-,-,-,-,-,-,-,ND,-,-,-,-,-,SS,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,686.0,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,Unknown,19749,10,AN-317-A,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 02:15PM - 03:30PM, St. Charles Hall, Room 044",Jan 18 2024,May  9 2024,Unknown,Unknown,13
2024SP,20585,C,Unknown,Unknown,Jan 17 2024,May  9 2024,AN,331,A,Social Sci Rsrch Methods(WI),3.0,11:00:00,12:15:00,-,Y,-,Y,-,Unknown,Unknown,STCH,18,LEC,J. Dolan,0.0,20.0,20.0,Unknown,Unknown,Unknown,35.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,WI,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Needs Build,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,685.0,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19748,2321,AN-331-A,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 11:00AM - 12:15PM, St. Charles Hall, Room 018",Jan 18 2024,May  9 2024,Unknown,Unknown,14
2024SP,20210,A,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,108,A,Survey of Animals in Society,3.0,09:30:00,10:45:00,-,Y,-,Y,-,Unknown,Unknown,PCCC,101,LEC,"M. Demello, H. Suthers",23.0,40.0,40.0,Unknown,Unknown,Unknown,80.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19376,1808,ANZ-108-A,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 09:30AM - 10:45AM, Perkins Call Canine Center, Room 101",Jan 18 2024,May  9 2024,Unknown,Unknown,15
2024SP,20832,A,Unknown,Unknown,Jan 17 2024,May  9 2024,ANZ,132,A,Dressage: Foundation Riding,1.0,10:00:00,10:50:00,-,-,-,-,Y,Unknown,Unknown,PCCC,Unknown,LEC,K. Perrault,6.0,6.0,6.0,Unknown,Unknown,Unknown,300.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,Unknown,Unknown,+,INST,R2,1.0,Unknown,Unknown,4,N,Y,Y,Y,10.0,3.0,Y,Unknown,19973,2741,ANZ-132-A,"01/23/2024-05/07/2024 Lab Tuesday 02:30PM - 04:30PM, ANZ Equine Center, Room EQCT",Jan 23 2024,May  7 2024,Unknown,Unknown,16
